rank,keyword,volume,kd,cpc,score,root,source
28,how to rid silverfish,880,18,0.58,49.65714285714286,silverfish,r2
29,how much pest control cost,320,6,1.44,48.8,pest control,r1
30,how to exterminate wasp nest,1000,27,0.79,48.37837837837838,wasp nest,r2
31,can cockroaches fly,1300,17,0.0,48.148148148148145,cockroach,r1
32,are long legged spiders poisonous,1600,24,0.02,48.0,spider,r1
33,can huntsman spiders bite,880,9,0.03,47.705263157894734,spider,r1
34,how to exterminate german cockroaches,480,13,1.27,47.373913043478254,german cockroach,r2
35,how get rid rats,1000,25,0.6,45.714285714285715,rat,r1
36,how can you get rid of rats,880,21,0.6,45.41935483870968,rat,r1
37,how to remove a wasp nest,480,9,0.79,45.22105263157895,wasp nest,r2
38,how to remove wasp nest,720,19,0.79,44.44137931034483,wasp nest,r2
39,how much does termite treatment cost,260,4,1.36,43.828571428571436,termite,r1
40,how to repel silverfish,720,16,0.58,43.75384615384616,silverfish,r2
41,how to get rid of the cockroaches,590,19,1.15,43.741379310344826,cockroach,r1
42,are huntsman spiders dangerous,1300,21,0.03,43.193548387096776,spider,r1
43,how many eyes do spiders have,1900,34,0.0,43.18181818181818,spider,r1
44,do huntsman spiders bite,1300,21,0.02,42.774193548387096,spider,r1
45,how can i get rid of a rat,1000,28,0.6,42.10526315789474,rat,r1
46,how many eyes a spider has,1600,28,0.0,42.10526315789474,spider,r1
47,how many eyes does the spider have,1600,28,0.0,42.10526315789474,spider,r1
48,how to hold a cockroach,590,20,1.12,41.693333333333335,cockroach,r1
49,how to get rid of wasp nests,720,21,0.79,41.57419354838709,wasp nest,r2
50,how to get rid of ants in house,720,18,0.61,41.39999999999999,ant,r1
51,how much should pest control cost,260,6,1.51,40.787499999999994,pest control,r1
52,how to get rid of ants permanently,720,19,0.62,40.220689655172414,ant,r1
53,how can i get rid of ants in the house,720,16,0.44,39.87692307692308,ant,r1
54,do cockroaches bite,1600,31,0.02,39.80487804878049,cockroach,r1
55,how many eyes of a spider,1600,31,0.0,39.02439024390244,spider,r1
56,how get rid ants,720,20,0.61,38.63999999999999,ant,r1
57,how many eyes are on a spider,1600,32,0.0,38.095238095238095,spider,r1
58,how can i get rid of silverfish,720,20,0.58,37.92,silverfish,r2
59,how many eyeballs do spiders have,1600,33,0.0,37.2093023255814,spider,r1
60,how to rid of rats,720,20,0.54,36.96,rat,r1
61,how to get rid of rats,1000,33,0.54,35.81395348837209,rat,r1
62,how get rid of rats,880,28,0.54,35.66315789473684,rat,r1
63,how do i permanently get rid of ants,590,17,0.62,35.400000000000006,ant,r1
64,how can i get rid of wasp nest,720,28,0.79,33.91578947368421,wasp nest,r2
65,how to get rid from cockroaches,590,17,0.55,33.870370370370374,cockroach,r1
66,how do i get rid of german cockroaches,320,9,0.95,32.8421052631579,german cockroach,r2
67,can cockroaches live in your penises,880,17,0.0,32.592592592592595,cockroach,r1
68,does house insurance cover termite damage,70,9,7.7,32.05263157894737,termite damage,r2
69,how to rid german cockroaches,320,13,1.27,31.582608695652173,german cockroach,r2
70,how to repel ants in the kitchen,720,20,0.28,30.720000000000002,ant,r1
71,what do huntsman spiders eat,590,24,0.77,30.71470588235294,huntsman spider,r2
72,does homeowners insurance cover termite damage,90,16,7.7,30.11538461538461,termite damage,r2
73,do ants sleep,1000,24,0.0,29.41176470588235,ant,r1
74,can cockroaches bite,1000,25,0.02,29.142857142857142,cockroach,r1
75,how long does pest control last,320,1,0.0,29.09090909090909,pest control,r1
76,what does rat excrement look like,720,15,0.0,28.8,rat,r1
77,how do you kill ants,590,23,0.61,28.784848484848485,ant,r1
78,do cockroaches fly,1000,25,0.0,28.571428571428573,cockroach,r1
79,can cockroaches live in your peni,880,21,0.0,28.387096774193548,cockroach,r1
80,how to get rid of silverfish insects,720,24,0.33,28.16470588235294,silverfish,r2
81,how often do you need pest control,590,11,0.0,28.095238095238095,pest control,r1
82,how to remove cockroaches,720,30,0.55,27.9,cockroach,r1
83,how to make fermented spider eye,1000,26,0.0,27.77777777777778,spider,r1
84,how to get rid of earwigs,390,17,0.91,27.588888888888892,earwig,r2
85,how to get rid of termites,590,30,0.83,26.9925,termite,r1
86,how do you remove a wasp nest,390,17,0.86,26.866666666666667,wasp nest,r2
87,does insurance cover termite damage,110,16,5.33,26.78076923076923,termite damage,r2
88,what is pest control,170,8,1.83,26.727777777777778,pest control,r1
89,how to kill cockroaches,720,17,0.0,26.666666666666668,cockroach,r1
90,what does rat poop look like,720,17,0.0,26.666666666666668,rat,r1
91,how to eliminate wasp nest,390,18,0.87,26.046428571428574,wasp nest,r2
92,what do fire ants look like,880,28,0.12,25.93684210526316,ant,r1
93,can cockroaches live in yourpenis,880,24,0.0,25.88235294117647,cockroach,r1
94,can cockroaches live in your penis,720,18,0.0,25.714285714285715,cockroach,r1
95,how do you get rid of huntsman spiders,170,2,0.8,25.5,huntsman spider,r2
96,how do i get rid of a wasp nest,480,24,0.79,25.27058823529412,wasp nest,r2
97,how long do huntsman spiders live,480,28,0.98,25.010526315789473,huntsman spider,r2
98,are wolf spiders dangerous,1000,30,0.0,25.0,spider,r1
99,what does rat feces look like,720,19,0.0,24.82758620689655,rat,r1
100,what do cockroaches eat,720,22,0.09,24.525000000000002,cockroach,r1
101,how can you kill ants,590,29,0.61,24.356410256410257,ant,r1
102,how to get rid of a wasp nest,390,20,0.87,24.310000000000002,wasp nest,r2
103,how can i get rid of ants in the kitchen,720,28,0.28,24.25263157894737,ant,r1
104,how do u get rid of ants in the kitchen,720,28,0.28,24.25263157894737,ant,r1
105,how to rid termites,390,19,0.8,24.20689655172414,termite,r1
106,what do termite look like,480,18,0.41,24.17142857142857,termite,r1
107,does an ant sleep,720,20,0.0,24.0,ant,r1
108,how long do ants live,720,20,0.0,24.0,ant,r1
109,how can i kill ants,590,21,0.25,23.79032258064516,ant,r1
110,how many legs do spiders have,1000,33,0.0,23.25581395348837,spider,r1
111,how to get fermented spider eye,1000,33,0.0,23.25581395348837,spider,r1
112,how often should pest control be done,170,10,1.72,23.119999999999997,pest control,r1
113,what does a termite look like,480,17,0.28,22.755555555555556,termite,r1
114,why pest control is important,590,16,0.0,22.692307692307693,pest control,r1
115,do huntsman spiders make webs,480,29,0.82,22.4,huntsman spider,r2
116,are cockroaches clean,1000,35,0.0,22.22222222222222,cockroach,r1
117,how do i remove a wasp nest,320,17,0.86,22.04444444444444,wasp nest,r2
118,what do ants eat,880,31,0.0,21.463414634146343,ant,r1
119,what does cockroach feces look like,720,25,0.0,20.571428571428573,cockroach,r1
120,how to choose the best pest control company,390,9,0.0,20.526315789473685,pest control,r1
121,how to kill ants,880,33,0.0,20.46511627906977,ant,r1
122,how many eyes does a spider have,880,33,0.0,20.46511627906977,spider,r1
123,how long do ants survive,590,19,0.0,20.344827586206897,ant,r1
124,how do i get rid of rats,480,28,0.6,20.210526315789473,rat,r1
125,how can i get rid of termites,480,33,0.8,20.093023255813954,termite,r1
126,how can you kill termites,210,7,0.6,19.764705882352942,termite,r1
127,how to eliminate german cockroaches,140,6,1.23,19.5125,german cockroach,r2
128,how to get rid of huntsman spiders,170,6,0.8,19.125,huntsman spider,r2
129,what do rats eat,590,21,0.0,19.032258064516128,rat,r1
130,what does the huntsman spider eat,320,20,0.77,18.88,huntsman spider,r2
131,how to exterminate earwigs,320,23,0.91,18.521212121212123,earwig,r2
132,how to exterminate termites,390,28,0.8,18.473684210526315,termite,r1
133,does ants sleep,590,22,0.0,18.4375,ant,r1
134,how to get rid of paper wasp nest,210,10,0.74,18.27,wasp nest,r2
135,how do you kill termites,210,9,0.6,17.68421052631579,termite,r1
136,how to identify fire ants,590,29,0.14,17.246153846153845,fire ant,r2
137,what do cockroach eggs look like,320,9,0.0,16.842105263157894,cockroach eggs,r2
138,how long does pest control take,90,3,1.43,16.823076923076922,pest control,r1
139,how long does a huntsman spider live,320,28,0.98,16.673684210526318,huntsman spider,r2
140,what do cockroaches need to survive,590,29,0.09,16.48974358974359,cockroach,r1
141,how long do rats live,720,34,0.0,16.363636363636363,rat,r1
142,are huntsman spider dangerous -ai,480,20,0.02,16.32,huntsman spider,r2
143,how do i get rid of carpenter ants,170,13,1.17,16.039130434782606,carpenter ant,r2
144,how can i kill termites,210,11,0.6,16.0,termite,r1
145,can termites fly,390,17,0.1,15.888888888888891,termite,r1
146,why are fire ants bad,390,20,0.22,15.860000000000001,fire ant,r2
147,do mosquitoes bite dogs,390,24,0.37,15.714705882352943,mosquito bite,r2
148,how to get rid of carpenter ants,210,19,1.17,15.713793103448275,carpenter ant,r2
149,how to take down a wasp nest,260,20,0.81,15.686666666666667,wasp nest,r2
150,is pest control safe,90,17,3.69,15.633333333333333,pest control,r1
151,what's more dangerous redback or black widow,390,15,0.0,15.6,redback,r1
152,what do termites look like in australia,320,19,0.41,15.558620689655172,termite,r1
153,how to get rid of redback spiders,110,6,1.25,15.46875,redback,r1
154,how do you get rid of silverfish,390,24,0.33,15.255882352941178,silverfish,r2
155,what do rat droppings look like,390,16,0.0,15.0,rat,r1
156,are white tail spiders dangerous,480,23,0.02,14.836363636363638,white tail spider,r1
157,how to get rid of european wasps,210,17,0.9,14.777777777777779,european wasp,r2
158,what does termite damage look like,210,12,0.53,14.604545454545455,termite damage,r2
159,do termites fly,390,21,0.15,14.467741935483868,termite,r1
160,are wolf spiders harmful,390,17,0.0,14.444444444444445,wolf spider,r2
161,how do you get rid of termites,320,30,0.8,14.4,termite,r1
162,how do you kill german cockroaches,140,12,1.23,14.19090909090909,german cockroach,r2
163,how do you kill a wasp nest,210,14,0.62,14.175000000000002,wasp nest,r2
164,how to get rid of millipedes,170,13,0.91,14.117391304347828,millipede,r2
165,how much does a pest control cost,90,6,1.48,13.95,pest control,r1
166,what do mouse droppings look like,390,18,0.0,13.928571428571429,mouse droppings,r2
167,how to get rid a wasp nest,170,12,0.79,13.831818181818182,wasp nest,r2
168,how to eradicate wasps nest,260,21,0.62,13.587096774193549,wasp nest,r2
169,do huntsman spiders spin webs,260,25,0.82,13.519999999999998,huntsman spider,r2
170,how much does a termite inspection cost,90,7,1.54,13.447058823529412,termite inspection cost,r2
171,how do i get rid of earwigs,210,20,0.91,13.370000000000001,earwig,r2
172,how do you get rid of millipedes,140,12,1.1,13.363636363636363,millipede,r2
173,what does a white tail spider bite look like,320,14,0.0,13.333333333333334,white tail spider,r1
174,how do you get rid of carpenter ants,170,18,1.17,13.174999999999999,carpenter ant,r2
175,how to get rid of german cockroaches australia,90,5,1.18,13.08,german cockroach,r2
176,what do rats need to survive,480,27,0.0,12.972972972972974,rat,r1
177,can redback spiders kill you,480,27,0.0,12.972972972972974,redback,r1
178,how to clear a wasp nest,260,23,0.62,12.763636363636365,wasp nest,r2
179,how to rid carpenter ants,170,19,1.17,12.720689655172412,carpenter ant,r2
180,how much does it cost for a termite inspection,70,4,1.54,12.700000000000001,termite inspection cost,r2
181,how to destroy a wasp nest,210,17,0.62,12.600000000000001,wasp nest,r2
182,are huntsman spiders poisonous,390,22,0.02,12.43125,huntsman spider,r2
183,what does a white tail spider look like,210,17,0.59,12.366666666666665,white tail spider,r1
184,how do i get rid of silverfish,170,12,0.58,12.20909090909091,silverfish,r2
185,how do you get rid of earwigs,210,23,0.91,12.154545454545456,earwig,r2
186,do silverfish eat clothes,170,4,0.0,12.142857142857142,silverfish,r2
187,how to get rid of european wasp nest,140,12,0.9,12.090909090909092,european wasp,r2
188,how to exterminate silverfish,210,18,0.61,12.075,silverfish,r2
189,can a redback kill you,480,30,0.0,12.0,redback,r1
190,how much should a termite inspection cost,70,5,1.55,11.9,termite inspection cost,r2
191,can a white tail spider kill you,320,17,0.0,11.851851851851851,white tail spider,r1
192,how much does pest control cost in melbourne,70,7,1.87,11.81764705882353,pest control cost,r2
193,how long do redback spider bite symptoms last,260,13,0.04,11.756521739130436,redback,r1
194,how to control german cockroaches,110,11,1.23,11.680952380952382,german cockroach,r2
195,what do millipedes eat,390,24,0.0,11.470588235294118,millipede,r2
196,can white tail spiders kill you,320,18,0.0,11.428571428571429,white tail spider,r1
197,what is the brown redback,320,19,0.0,11.03448275862069,redback,r1
198,will earwigs bite,320,19,0.0,11.03448275862069,earwig,r2
199,how to remove silverfish,170,15,0.61,10.948,silverfish,r2
200,what does a termite inspection cost,90,7,1.06,10.905882352941177,termite inspection cost,r2
201,how to repel millipedes,140,17,1.1,10.88888888888889,millipede,r2
202,what will rats eat,480,35,0.0,10.666666666666666,rat,r1
203,do yourself pest control,210,16,0.32,10.661538461538461,pest control,r1
204,what do termites look like australia,260,21,0.26,10.567741935483872,termite,r1
205,how get rid of a wasp nest,170,19,0.79,10.493103448275862,wasp nest,r2
206,can a redback spider kill you,390,28,0.0,10.263157894736842,redback,r1
207,how do you kill silverfish,170,17,0.61,10.137037037037036,silverfish,r2
208,how long do a rat live,390,29,0.0,10.0,rat,r1
209,are rats nocturnal,260,16,0.0,10.0,rat,r1
210,how to exterminate millipedes,140,17,0.91,9.903703703703705,millipede,r2
211,how to know if you have termites,260,29,0.47,9.799999999999999,termite,r1
212,are earwigs dangerous,320,23,0.0,9.696969696969697,earwig,r2
213,can a white-tail spider kill you,260,17,0.0,9.62962962962963,white tail spider,r1
214,how to exterminate carpenter ants,140,22,1.17,9.49375,carpenter ant,r2
215,how to get rid of white tail spiders,90,6,0.68,9.450000000000001,white tail spider,r1
216,what does termites look like,260,24,0.23,9.405882352941177,termite,r1
217,how long does a rat lives,390,32,0.0,9.285714285714286,rat,r1
218,what plants repel mosquitoes,260,19,0.03,9.23448275862069,mosquito repellent,r2
219,is pest control the landlords responsibility qld,110,2,0.0,9.166666666666666,pest control,r1
220,does ultrasonic pest control work,170,20,0.61,9.123333333333333,pest control,r1
221,what does the millipede eat,390,33,0.0,9.069767441860465,millipede,r2
222,what to feed redback,260,19,0.0,8.96551724137931,redback,r1
223,how do you trap a rat,170,20,0.58,8.953333333333335,rat trap,r2
224,do possums eat rat poison,170,9,0.0,8.947368421052632,rat poison,r2
225,how big are termites,210,23,0.4,8.909090909090908,termite,r1
226,what happens if a dog eats rat poison,110,13,0.83,8.752173913043478,rat poison,r2
227,how get rid wasp nest,170,25,0.79,8.694285714285714,wasp nest,r2
228,how to trap a rat,170,21,0.58,8.66451612903226,rat trap,r2
229,where can i buy redback boots,90,8,0.73,8.649999999999999,redback,r1
230,do earwigs bite,320,27,0.0,8.64864864864865,earwig,r2
231,how do i know if i have termites,210,29,0.56,8.4,termite,r1
232,are white tailed spiders dangerous,210,18,0.12,8.4,white tail spider,r1
233,are silverfish harmful,260,21,0.0,8.387096774193548,silverfish,r2
234,what does a redback spider bite look like,210,17,0.07,8.322222222222223,redback,r1
235,do cockroaches lay eggs,140,7,0.0,8.235294117647058,cockroach eggs,r2
236,how can you tell if you have termites,210,28,0.47,8.123684210526315,termite,r1
237,how do you know if you have termites,210,29,0.47,7.915384615384615,termite,r1
238,can earwigs bite,260,23,0.0,7.878787878787879,earwig,r2
239,do it yourself pest control,90,11,0.82,7.799999999999999,pest control,r1
240,how to choose a pest control company,140,8,0.0,7.777777777777778,pest control,r1
241,why is pest control important,170,12,0.0,7.7272727272727275,pest control,r1
242,does a silverfish bite,170,12,0.0,7.7272727272727275,silverfish,r2
243,what are silverfish insects,260,28,0.12,7.663157894736844,silverfish,r2
244,are earwigs harmful,260,24,0.0,7.647058823529412,earwig,r2
245,how old do rats live,320,32,0.0,7.619047619047619,rat,r1
246,do earwigs sting,210,18,0.0,7.5,earwig,r2
247,what happens if a dog eats a poisoned rat,90,19,1.4,7.448275862068965,rat poison,r2
248,how to kill termites,260,25,0.0,7.428571428571429,termite,r1
249,how to exterminate fire ants,140,21,0.63,7.361290322580645,fire ant,r2
250,how to get rid of german cockroach,90,14,0.95,7.3125,german cockroach,r2
251,do huntsman spiders jump,260,26,0.0,7.222222222222222,huntsman spider,r2
252,how to rid house of millipedes,70,17,1.77,7.181481481481482,millipede,r2
253,how do you tell if you have termites,210,34,0.47,7.015909090909091,termite,r1
254,what does a white tailed spider look like,110,15,0.59,6.995999999999999,white tail spider,r1
255,are redback spiders deadly,260,29,0.04,6.9333333333333345,redback,r1
256,how quickly can a redback spider kill you,260,28,0.0,6.842105263157895,redback,r1
257,are wolf spiders venomous,260,28,0.0,6.842105263157895,wolf spider,r2
258,can an earwig bite,260,28,0.0,6.842105263157895,earwig,r2
259,are huntsman spider dangerous,140,11,0.02,6.800000000000001,huntsman spider,r2
260,do earwigs enter your ear,210,21,0.0,6.774193548387097,earwig,r2
261,are black house spiders poisonous,210,22,0.02,6.6937500000000005,black house spider,r2
262,what do silverfish eat,210,22,0.0,6.5625,silverfish,r2
263,how to kill wasp nest,210,22,0.0,6.5625,wasp nest,r2
264,how to get rid of fire ants,140,25,0.63,6.52,fire ant,r2
265,how long does it take rat poison to work,140,12,0.0,6.363636363636363,rat poison,r2
266,is a huntsman spider dangerous,210,24,0.02,6.300000000000001,huntsman spider,r2
267,how to kill silverfish,170,17,0.0,6.296296296296297,silverfish,r2
268,how to remove bee stinger,260,33,0.04,6.2883720930232565,bee removal,r2
269,how can i repel mosquitoes,170,29,0.42,6.189743589743589,mosquito repellent,r2
270,how can i kill fire ants,140,28,0.68,6.189473684210527,fire ant,r2
271,what does a white tailed spider bite look like,170,18,0.0,6.071428571428571,white tail spider,r1
272,can pest control get rid of mosquitoes,70,16,1.23,6.003846153846154,mosquito control,r2
273,does huntsman spider jump,210,25,0.0,6.0,huntsman spider,r2
274,are white tailed spiders poisonous,140,17,0.14,5.911111111111112,white tail spider,r1
275,does earwigs bite,210,26,0.0,5.833333333333333,earwig,r2
276,do landlords pay for pest control,90,6,0.0,5.625,pest control,r1
277,what to put on a rat trap,90,6,0.0,5.625,rat trap,r2
278,how to kill german cockroaches,140,15,0.0,5.6,german cockroach,r2
279,does lavender repel mosquitoes,170,21,0.02,5.593548387096774,mosquito repellent,r2
280,can huntsman spiders jump,210,28,0.0,5.526315789473684,huntsman spider,r2
281,does the huntsman spider bite,210,29,0.02,5.492307692307692,huntsman spider,r2
282,how do you kill fire ants,140,33,0.68,5.469767441860466,fire ant,r2
283,how to rid fire ants,140,31,0.59,5.429268292682926,fire ant,r2
284,how long does rat poison take to work,140,16,0.0,5.384615384615385,rat poison,r2
285,do earwigs really go in your ears,210,29,0.0,5.384615384615385,earwig,r2
286,do silverfish insects bite,170,22,0.0,5.3125,silverfish,r2
287,is huntsman spider dangerous,170,23,0.03,5.306060606060606,huntsman spider,r2
288,does rat poison kill possums,90,7,0.0,5.294117647058823,rat poison,r2
289,how do i get rid of fire ants,110,24,0.63,5.273529411764706,fire ant,r2
290,what is the best insect repellent for mosquitoes,90,20,0.75,5.25,mosquito repellent,r2
291,how to do your own pest control,110,11,0.0,5.238095238095238,pest control,r1
292,what does an earwig eat,140,17,0.0,5.185185185185185,earwig,r2
293,can huntsman spiders kill you,170,23,0.0,5.151515151515151,huntsman spider,r2
294,what do earwigs eat,170,23,0.0,5.151515151515151,earwig,r2
295,do silverfish bite,210,31,0.0,5.121951219512195,silverfish,r2
296,can earwigs go in your ear,210,31,0.0,5.121951219512195,earwig,r2
297,are black house spiders dangerous,140,22,0.15,5.03125,black house spider,r2
298,can rat poison kill a possum,90,8,0.0,5.0,rat poison,r2
299,will rat poison kill a possum,90,8,0.0,5.0,rat poison,r2
300,is a wolf spider poisonous,140,18,0.0,5.0,wolf spider,r2
301,is a wolf spider venomous,140,18,0.0,5.0,wolf spider,r2
302,do earwigs get in your ears,210,32,0.0,5.0,earwig,r2
303,do earwigs go in your ear,210,32,0.0,5.0,earwig,r2
304,how much does a pest control inspection cost,70,4,0.0,5.0,pest control cost,r2
305,how much does annual pest control cost,70,4,0.0,5.0,pest control cost,r2
306,how to repel mosquitoes,140,31,0.45,4.951219512195122,mosquito repellent,r2
307,can redbacks kill you,210,33,0.0,4.883720930232558,redback,r1
308,can silverfish bite,170,25,0.0,4.857142857142857,silverfish,r2
309,what does a fire ant nest look like,140,19,0.0,4.827586206896552,fire ant,r2
310,what are the first signs of rat poison in dogs,140,19,0.0,4.827586206896552,rat poison,r2
311,what to do if dog eats rat poison,90,22,0.68,4.7250000000000005,rat poison,r2
312,why are earwigs called earwigs,170,26,0.0,4.722222222222222,earwig,r2
313,what does a fire ant look like,170,30,0.1,4.675000000000001,fire ant,r2
314,are millipedes dangerous,140,20,0.0,4.666666666666667,millipede,r2
315,what is a german cockroach,70,16,0.72,4.63076923076923,german cockroach,r2
316,how to get rid of portuguese millipedes,110,14,0.0,4.583333333333333,millipede,r2
317,are white tail spiders deadly,140,25,0.14,4.5600000000000005,white tail spider,r1
318,can rat poison kill possums,90,10,0.0,4.5,rat poison,r2
319,how do you get rid of fire ants,110,30,0.63,4.4825,fire ant,r2
320,how to repel mosquitoes from yard,110,33,0.72,4.3999999999999995,mosquito repellent,r2
321,do white tail spiders travel in pairs,70,6,0.0,4.375,white tail spider,r1
322,do silverfish bugs bite,170,30,0.0,4.25,silverfish,r2
323,does silverfish bite,170,31,0.0,4.146341463414634,silverfish,r2
324,how to kill fire ants,140,24,0.0,4.117647058823529,fire ant,r2
325,why called earwig,140,24,0.0,4.117647058823529,earwig,r2
326,are white tail spiders poisonous,110,17,0.0,4.074074074074074,white tail spider,r1
327,what is the best flea treatment for dogs,50,21,1.52,4.064516129032258,flea treatment dog,r2
328,does lemon grass plant repel mosquitoes,70,8,0.04,4.044444444444444,mosquito repellent,r2
329,does lemongrass repel mosquitoes,70,8,0.04,4.044444444444444,mosquito repellent,r2
330,is the wolf spider venomous,140,25,0.0,4.0,wolf spider,r2
331,does lavender plant repel mosquitoes,140,26,0.02,3.966666666666667,mosquito repellent,r2
332,what happens if you get bitten by a redback spider,170,34,0.02,3.940909090909091,redback,r1
333,how long does it take for rat poison to work,110,18,0.0,3.9285714285714284,rat poison,r2
334,how long does it take a cockroach egg to hatch,90,13,0.0,3.9130434782608696,cockroach eggs,r2
335,are wolf spiders poisonous to dogs,90,13,0.0,3.9130434782608696,wolf spider,r2
336,how big are fire ants,140,26,0.0,3.888888888888889,fire ant,r2
337,are there humane rat traps that capture rats alive,70,8,0.0,3.888888888888889,rat trap,r2
338,what does a earwig eat,140,26,0.0,3.888888888888889,earwig,r2
339,how to treat a white tail spider bite,90,17,0.16,3.8666666666666663,white tail spider,r1
340,do it yourself mosquito repellent,90,17,0.15,3.8333333333333326,mosquito repellent,r2
341,how to remove bees,50,23,1.5,3.787878787878788,bee removal,r2
342,are wolf spider poisonous,140,28,0.02,3.7578947368421054,wolf spider,r2
343,what is an earwig,140,28,0.0,3.6842105263157894,earwig,r2
344,do rat poison kill possums,90,15,0.0,3.6,rat poison,r2
345,how does rat poison work on rats,90,15,0.0,3.6,rat poison,r2
346,what do fire ants do,140,30,0.01,3.535,fire ant,r2
347,how to recognize carpenter ants,90,16,0.0,3.4615384615384617,carpenter ant,r2
348,is pest control responsibility of landlord,90,18,0.07,3.4392857142857145,pest control,r1
349,are redbacks deadly,140,31,0.0,3.4146341463414633,redback,r1
350,how do i remove a bee sting,140,33,0.04,3.386046511627907,bee removal,r2
351,what is integrated pest control,110,23,0.0,3.3333333333333335,pest control,r1
352,do carpenter ants bite,90,17,0.0,3.3333333333333335,carpenter ant,r2
353,how long does it take cockroach eggs to hatch,90,17,0.0,3.3333333333333335,cockroach eggs,r2
354,how does rat poison work,90,17,0.0,3.3333333333333335,rat poison,r2
355,are wolf spiders in australia,90,17,0.0,3.3333333333333335,wolf spider,r2
356,how to remove bee hive,50,28,1.45,3.2236842105263164,bee removal,r2
357,how to kill european wasps,70,12,0.0,3.1818181818181817,european wasp,r2
358,what do fire ants nests look like,110,25,0.0,3.142857142857143,fire ant,r2
359,what does fire ant nest look like,110,25,0.0,3.142857142857143,fire ant,r2
360,are millipedes venomous,140,35,0.0,3.111111111111111,millipede,r2
361,how to repel mosquitoes in yard,70,29,0.72,3.087179487179487,mosquito repellent,r2
362,how to get rid of rats without poison,50,19,0.79,3.086206896551724,rat poison,r2
363,are european wasps dangerous,110,26,0.0,3.0555555555555554,european wasp,r2
364,what is the best mosquito repellent,70,26,0.57,3.0527777777777776,mosquito repellent,r2
365,are black widows and redbacks the same,90,21,0.0,2.903225806451613,redback,r1
366,how long does it take for cockroach eggs to hatch,90,21,0.0,2.903225806451613,cockroach eggs,r2
367,how big is wolf spider,90,21,0.0,2.903225806451613,wolf spider,r2
368,what to put in a rat trap,70,15,0.0,2.8,rat trap,r2
369,can you die from a redback spider bite,110,30,0.0,2.75,redback,r1
370,how large are fire ants,110,30,0.0,2.75,fire ant,r2
371,can you take mosquito repellent on airplane,90,23,0.0,2.727272727272727,mosquito repellent,r2
372,can a german cockroach fly,70,16,0.0,2.6923076923076925,german cockroach,r2
373,what do bed bug eggs look like,70,16,0.0,2.6923076923076925,bed bug eggs,r2
374,do lemongrass plants repel mosquitoes,50,9,0.02,2.6842105263157894,mosquito repellent,r2
375,where do redback spiders live,90,24,0.0,2.6470588235294117,redback,r1
376,can lemongrass repel mosquitoes,70,20,0.04,2.4266666666666667,mosquito repellent,r2
377,where do cockroaches lay eggs,50,11,0.0,2.380952380952381,cockroach eggs,r2
378,how long does a cockroach egg take to hatch,90,28,0.0,2.3684210526315788,cockroach eggs,r2
379,are redback spiders poisonous,90,32,0.09,2.335714285714286,redback,r1
380,does carpenter ants bite,70,20,0.0,2.3333333333333335,carpenter ant,r2
381,what do bed bugs and eggs look like,90,29,0.0,2.3076923076923075,bed bug eggs,r2
382,do german cockroaches fly,70,21,0.0,2.2580645161290325,german cockroach,r2
383,what does mouse droppings look like,70,21,0.0,2.2580645161290325,mouse droppings,r2
384,how big is the wolf spider,90,30,0.0,2.25,wolf spider,r2
385,do lavender repel mosquitoes,90,31,0.02,2.239024390243902,mosquito repellent,r2
