keyword,volume,keyword_difficulty,cpc_aud,competition,intent_code,funnel_stage,is_geo,priority_score,rank_target
w.ant,1600,26,0.0,0.0,1,TOFU,no,44.4,yes
termites in house,720,35,1.76,0.11,1,TOFU,no,44.2,yes
how much does termite treatment cost,260,4,1.36,0.46,1,MOFU,no,43.8,yes
how to get rid of the cockroaches,590,19,1.15,1.0,1,TOFU,no,43.7,yes
spider removal,320,20,3.07,0.91,1,MOFU,no,43.4,yes
how many eyes do spiders have,1900,34,0.0,0.0,1,TOFU,no,43.2,yes
are huntsman spiders dangerous,1300,21,0.03,0.01,1,TOFU,no,43.2,yes
do huntsman spiders bite,1300,21,0.02,0.01,1,TOFU,no,42.8,yes
how can i get rid of a rat,1000,28,0.6,1.0,1,TOFU,no,42.1,yes
how many eyes a spider has,1600,28,0.0,0.0,1,TOFU,no,42.1,yes
how many eyes does the spider have,1600,28,0.0,0.0,1,TOFU,no,42.1,yes
pest control perth wa,480,43,3.6,0.81,0,BOFU,yes,41.7,no
how to hold a cockroach,590,20,1.12,0.33,"1,3",TOFU,no,41.7,yes
how to get rid of ants in house,720,18,0.61,0.99,1,TOFU,no,41.4,yes
how much should pest control cost,260,6,1.51,0.59,1,MOFU,no,40.8,yes
bee removal perth,480,27,2.11,0.74,0,BOFU,yes,40.3,yes
how to get rid of ants permanently,720,19,0.62,1.0,1,TOFU,no,40.2,yes
millipede control,140,6,3.57,0.52,1,MOFU,no,40.0,yes
wasp removal perth,170,8,3.24,0.96,1,BOFU,yes,40.0,yes
mosquito control,590,29,1.64,0.98,0,MOFU,no,39.9,yes
how can i get rid of ants in the house,720,16,0.44,0.98,1,TOFU,no,39.9,yes
do cockroaches bite,1600,31,0.02,0.0,1,TOFU,no,39.8,yes
termite control near me,320,39,5.06,0.72,"1,3",MOFU,no,39.6,no
how many eyes of a spider,1600,31,0.0,0.0,1,TOFU,no,39.0,yes
rodent control near me,480,49,3.75,0.9,3,MOFU,no,38.6,no
how get rid ants,720,20,0.61,0.71,1,TOFU,no,38.6,yes
what to rat,1000,39,0.87,0.04,1,TOFU,no,38.2,no
how many eyes are on a spider,1600,32,0.0,0.0,1,TOFU,no,38.1,yes
how many eyeballs do spiders have,1600,33,0.0,0.0,1,TOFU,no,37.2,yes
pest exterminator,480,54,3.95,0.73,0,MOFU,no,37.1,no
how to rid of rats,720,20,0.54,1.0,1,TOFU,no,37.0,yes
pest removal perth,480,51,3.6,0.81,0,BOFU,yes,36.2,no
coastal brown ant,390,13,1.12,0.01,"1,3",TOFU,no,35.9,yes
how to get rid of rats,1000,33,0.54,1.0,1,TOFU,no,35.8,yes
how get rid of rats,880,28,0.54,1.0,1,TOFU,no,35.7,yes
how do i permanently get rid of ants,590,17,0.62,1.0,1,TOFU,no,35.4,yes
how many legs have spider,1600,36,0.0,0.0,1,TOFU,no,34.8,no
affordable pest control,390,29,2.47,0.53,0,MOFU,no,34.7,yes
how to get rid from cockroaches,590,17,0.55,1.0,1,TOFU,no,33.9,yes
bed bug treatment near me,260,35,4.8,0.24,"1,3",MOFU,no,33.5,yes
mosquito control perth,260,11,1.7,0.93,1,BOFU,yes,33.4,yes
can cockroaches live in your penises,880,17,0.0,0.0,1,TOFU,no,32.6,yes
safe pest control,720,65,2.38,0.69,2,MOFU,no,32.4,no
how to get rid from rats,1000,41,0.6,1.0,1,TOFU,no,31.4,no
pest control wanneroo,110,6,3.48,0.99,0,BOFU,yes,30.8,yes
how to repel ants in the kitchen,720,20,0.28,0.68,1,TOFU,no,30.7,yes
natural ant repellent,1000,25,0.06,0.26,1,TOFU,no,30.3,yes
what does a spider bite look like,1600,44,0.02,0.01,1,TOFU,no,30.2,no
pest control fremantle,140,6,2.43,0.51,1,BOFU,yes,30.0,yes
rat control perth,260,25,3.01,0.93,0,BOFU,yes,29.8,yes
flea treatment perth,140,11,3.46,0.74,0,BOFU,yes,29.7,yes
pest control balcatta,110,6,3.31,0.5,0,BOFU,yes,29.6,yes
do ants sleep,1000,24,0.0,0.0,1,TOFU,no,29.4,yes
how long does pest control last,320,1,0.0,0.02,1,MOFU,no,29.1,yes
can cockroaches bite,1000,25,0.02,0.0,1,TOFU,no,29.1,yes
how do you kill ants,590,23,0.61,0.42,1,TOFU,no,28.8,yes
what does rat excrement look like,720,15,0.0,0.0,1,TOFU,no,28.8,yes
do cockroaches fly,1000,25,0.0,0.0,1,TOFU,no,28.6,yes
can cockroaches live in your peni,880,21,0.0,0.0,1,TOFU,no,28.4,yes
how often do you need pest control,590,11,0.0,0.01,1,MOFU,no,28.1,yes
how many legs does a spider have,1600,47,0.0,0.0,1,TOFU,no,28.1,no
pest control warwick,110,4,2.55,0.62,"1,0",BOFU,yes,27.9,yes
how to remove cockroaches,720,30,0.55,1.0,1,TOFU,no,27.9,yes
how to make fermented spider eye,1000,26,0.0,0.0,1,TOFU,no,27.8,yes
termite control perth,260,41,4.39,0.55,0,BOFU,yes,27.5,no
pest controllers,390,59,3.81,0.71,0,MOFU,no,27.2,no
how to get rid of termites,590,30,0.83,0.76,1,TOFU,no,27.0,yes
what is pest control,170,8,1.83,0.1,1,MOFU,no,26.7,yes
how to kill cockroaches,720,17,0.0,0.0,1,TOFU,no,26.7,yes
what does rat poop look like,720,17,0.0,0.0,1,TOFU,no,26.7,yes
are wolf spiders toxic,1300,41,0.02,0.01,1,TOFU,no,26.0,no
can cockroaches live in yourpenis,880,24,0.0,0.0,1,TOFU,no,25.9,yes
what do fire ants look like,880,28,0.12,0.05,1,TOFU,no,25.9,yes
ant prevention natural,1000,39,0.26,0.33,1,TOFU,no,25.7,no
can cockroaches live in your penis,720,18,0.0,0.0,1,TOFU,no,25.7,yes
are wolf spiders dangerous,1000,30,0.0,0.0,1,TOFU,no,25.0,yes
what does rat feces look like,720,19,0.0,0.0,1,TOFU,no,24.8,yes
what do cockroaches eat,720,22,0.09,0.01,1,TOFU,no,24.5,yes
how can you kill ants,590,29,0.61,0.42,1,TOFU,no,24.4,yes
how can i get rid of ants in the kitchen,720,28,0.28,0.68,1,TOFU,no,24.3,yes
how do u get rid of ants in the kitchen,720,28,0.28,0.68,1,TOFU,no,24.3,yes
what do termite look like,480,18,0.41,0.03,1,TOFU,no,24.2,yes
how to rid termites,390,19,0.8,0.77,1,TOFU,no,24.2,yes
does an ant sleep,720,20,0.0,0.0,1,TOFU,no,24.0,yes
how long do ants live,720,20,0.0,0.0,1,TOFU,no,24.0,yes
how can i kill ants,590,21,0.25,0.3,1,TOFU,no,23.8,yes
how many legs do spiders have,1000,33,0.0,0.0,1,TOFU,no,23.3,yes
how to get fermented spider eye,1000,33,0.0,0.0,1,TOFU,no,23.3,yes
how often should pest control be done,170,10,1.72,0.09,1,MOFU,no,23.1,yes
how to remove termites,590,37,0.83,0.76,1,TOFU,no,23.0,no
what does a termite look like,480,17,0.28,0.02,1,TOFU,no,22.8,yes
why pest control is important,590,16,0.0,0.17,1,MOFU,no,22.7,yes
cockroach control near me,210,44,4.79,0.92,3,MOFU,no,22.5,no
are cockroaches clean,1000,35,0.0,0.0,1,TOFU,no,22.2,yes
pest control hillarys,90,7,3.11,0.98,0,BOFU,yes,21.8,yes
how many legs are on a spider,1300,50,0.0,0.0,1,TOFU,no,21.7,no
pest control alkimos,70,5,3.6,0.92,0,BOFU,yes,21.5,yes
what do ants eat,880,31,0.0,0.0,1,TOFU,no,21.5,yes
are wolf spiders poisonous,1000,37,0.0,0.0,1,TOFU,no,21.3,no
how to get rid of ants in kitchen,590,30,0.43,0.9,1,TOFU,no,21.1,yes
silverfish treatment,260,23,1.67,0.96,1,MOFU,no,21.0,yes
rentokil perth,390,43,1.83,0.5,2,TOFU,yes,20.8,no
what does cockroach feces look like,720,25,0.0,0.0,1,TOFU,no,20.6,yes
diy termite treatment,170,3,0.57,1.0,1,MOFU,no,20.5,yes
how to choose the best pest control company,390,9,0.0,0.0,1,MOFU,no,20.5,yes
how to kill ants,880,33,0.0,0.0,1,TOFU,no,20.5,yes
how many eyes does a spider have,880,33,0.0,0.0,1,TOFU,no,20.5,yes
how long do ants survive,590,19,0.0,0.0,1,TOFU,no,20.3,yes
how do i get rid of rats,480,28,0.6,1.0,1,TOFU,no,20.2,yes
bed bug treatment perth,110,17,3.93,0.93,0,BOFU,yes,20.1,yes
how can i get rid of termites,480,33,0.8,0.77,1,TOFU,no,20.1,yes
spiders in perth wa,320,11,0.31,0.01,1,TOFU,yes,20.0,yes
how can you kill termites,210,7,0.6,0.79,1,TOFU,no,19.8,yes
who played in spider man,1300,56,0.0,0.0,1,TOFU,no,19.7,no
what do rats eat,590,21,0.0,0.01,1,TOFU,no,19.0,yes
how to exterminate rats,590,40,0.6,1.0,"1,0",TOFU,no,18.9,no
pest control scarborough,140,18,2.7,0.52,2,BOFU,yes,18.5,yes
how to exterminate termites,390,28,0.8,0.77,1,TOFU,no,18.5,yes
does ants sleep,590,22,0.0,0.0,1,TOFU,no,18.4,yes
how many legs does spider,880,39,0.0,0.0,1,TOFU,no,18.0,no
how do you kill termites,210,9,0.6,0.79,1,TOFU,no,17.7,yes
spiders in perth,320,14,0.31,0.01,1,TOFU,yes,17.5,yes
how long does pest control take,90,3,1.43,0.06,1,MOFU,no,16.8,yes
how to get rid of a rats,480,36,0.6,1.0,1,TOFU,no,16.7,no
what do cockroaches need to survive,590,29,0.09,0.01,1,TOFU,no,16.5,yes
how long do rats live,720,34,0.0,0.0,1,TOFU,no,16.4,yes
pest control clarkson,50,6,4.18,0.67,0,BOFU,yes,16.2,yes
how can i kill termites,210,11,0.6,0.79,1,TOFU,no,16.0,yes
can termites fly,390,17,0.1,0.03,1,TOFU,no,15.9,yes
signs of termites in house,320,25,0.72,0.12,1,TOFU,no,15.7,yes
is pest control safe,90,17,3.69,0.08,1,MOFU,no,15.6,yes
what do termites look like in australia,320,19,0.41,0.03,1,TOFU,no,15.6,yes
what's more dangerous redback or black widow,390,15,0.0,0.0,1,TOFU,no,15.6,yes
how to get rid of redback spiders,110,6,1.25,0.28,1,TOFU,no,15.5,yes
what do rat droppings look like,390,16,0.0,0.0,1,TOFU,no,15.0,yes
are white tail spiders dangerous,480,23,0.02,0.01,1,TOFU,no,14.8,yes
are tranchulas spiders poisonous,880,50,0.0,0.0,1,TOFU,no,14.7,no
what does termite damage look like,210,12,0.53,0.05,1,TOFU,no,14.6,yes
do termites fly,390,21,0.15,0.02,1,TOFU,no,14.5,yes
how do you get rid of termites,320,30,0.8,0.77,1,TOFU,no,14.4,yes
mouse control perth,90,16,3.09,0.26,0,BOFU,yes,14.2,yes
pest control yanchep,50,4,2.92,0.94,0,BOFU,yes,14.0,yes
how much does a pest control cost,90,6,1.48,0.59,1,MOFU,no,13.9,yes
what does a white tail spider bite look like,320,14,0.0,0.0,1,TOFU,no,13.3,yes
what do rats need to survive,480,27,0.0,0.01,1,TOFU,no,13.0,yes
can redback spiders kill you,480,27,0.0,0.0,1,TOFU,no,13.0,yes
what does a white tail spider look like,210,17,0.59,0.01,1,TOFU,no,12.4,yes
can a redback kill you,480,30,0.0,0.0,1,TOFU,no,12.0,yes
can a white tail spider kill you,320,17,0.0,0.0,1,TOFU,no,11.9,yes
how long do redback spider bite symptoms last,260,13,0.04,0.02,1,TOFU,no,11.8,yes
can white tail spiders kill you,320,18,0.0,0.0,1,TOFU,no,11.4,yes
what is the brown redback,320,19,0.0,0.0,1,TOFU,no,11.0,yes
termite vs ant,210,17,0.37,0.03,"1,0",TOFU,no,10.7,yes
do yourself pest control,210,16,0.32,1.0,1,MOFU,no,10.7,yes
what will rats eat,480,35,0.0,0.01,1,TOFU,no,10.7,yes
what do termites look like australia,260,21,0.26,0.04,1,TOFU,no,10.6,yes
can a redback spider kill you,390,28,0.0,0.0,1,TOFU,no,10.3,yes
how long do a rat live,390,29,0.0,0.0,1,TOFU,no,10.0,yes
are rats nocturnal,260,16,0.0,0.0,1,TOFU,no,10.0,yes
how to know if you have termites,260,29,0.47,0.21,1,TOFU,no,9.8,yes
spider control near me,50,16,4.05,0.85,3,MOFU,no,9.7,yes
can a white-tail spider kill you,260,17,0.0,0.0,1,TOFU,no,9.6,yes
how to get rid of white tail spiders,90,6,0.68,0.5,1,TOFU,no,9.5,yes
what does termites look like,260,24,0.23,0.03,1,TOFU,no,9.4,yes
how long does a rat lives,390,32,0.0,0.0,1,TOFU,no,9.3,yes
how do i kill rats,260,39,0.76,0.99,1,TOFU,no,9.3,no
is pest control the landlords responsibility qld,110,2,0.0,0.02,1,MOFU,no,9.2,yes
does ultrasonic pest control work,170,20,0.61,0.25,1,MOFU,no,9.1,yes
what to feed redback,260,19,0.0,0.0,1,TOFU,no,9.0,yes
pest control wa,110,42,3.23,0.48,0,BOFU,yes,8.9,no
how big are termites,210,23,0.4,0.03,1,TOFU,no,8.9,yes
how many ants are in the world,590,58,0.0,0.0,1,TOFU,no,8.7,no
where can i buy redback boots,90,8,0.73,0.97,3,TOFU,no,8.6,yes
how do i know if i have termites,210,29,0.56,0.25,1,TOFU,no,8.4,yes
are white tailed spiders dangerous,210,18,0.12,0.02,1,TOFU,no,8.4,yes
what does a redback spider bite look like,210,17,0.07,0.01,1,TOFU,no,8.3,yes
how can you tell if you have termites,210,28,0.47,0.21,1,TOFU,no,8.1,yes
where to buy redback boots,110,12,0.6,1.0,3,TOFU,no,8.0,yes
how do you know if you have termites,210,29,0.47,0.21,1,TOFU,no,7.9,yes
how to choose a pest control company,140,8,0.0,0.0,1,MOFU,no,7.8,yes
do it yourself pest control,90,11,0.82,0.99,1,MOFU,no,7.8,yes
why is pest control important,170,12,0.0,0.0,1,MOFU,no,7.7,yes
how old do rats live,320,32,0.0,0.0,1,TOFU,no,7.6,yes
flea treatment near me,50,23,3.96,0.98,3,MOFU,no,7.5,yes
how to kill termites,260,25,0.0,0.0,1,TOFU,no,7.4,yes
ant control near me,50,24,3.73,0.66,3,MOFU,no,7.0,yes
how do you tell if you have termites,210,34,0.47,0.21,1,TOFU,no,7.0,yes
what does a white tailed spider look like,110,15,0.59,0.01,1,TOFU,no,7.0,yes
are redback spiders deadly,260,29,0.04,0.02,1,TOFU,no,6.9,yes
how quickly can a redback spider kill you,260,28,0.0,0.0,1,TOFU,no,6.8,yes
what does a white tailed spider bite look like,170,18,0.0,0.0,1,TOFU,no,6.1,yes
are white tailed spiders poisonous,140,17,0.14,0.01,1,TOFU,no,5.9,yes
do landlords pay for pest control,90,6,0.0,0.02,1,MOFU,no,5.6,yes
how to do your own pest control,110,11,0.0,0.4,1,MOFU,no,5.2,yes
can redbacks kill you,210,33,0.0,0.0,1,TOFU,no,4.9,yes
are white tail spiders deadly,140,25,0.14,0.01,1,TOFU,no,4.6,yes
as 3660.2,90,10,0.0,0.06,1,TOFU,no,4.5,yes
do white tail spiders travel in pairs,70,6,0.0,0.01,1,TOFU,no,4.4,yes
are white tail spiders poisonous,110,17,0.0,0.01,1,TOFU,no,4.1,yes
what happens if you get bitten by a redback spider,170,34,0.02,0.05,1,TOFU,no,3.9,yes
how to treat a white tail spider bite,90,17,0.16,0.04,1,TOFU,no,3.9,yes
is pest control responsibility of landlord,90,18,0.07,0.05,1,MOFU,no,3.4,yes
are redbacks deadly,140,31,0.0,0.0,1,TOFU,no,3.4,yes
what is integrated pest control,110,23,0.0,0.0,1,MOFU,no,3.3,yes
are black widows and redbacks the same,90,21,0.0,0.0,1,TOFU,no,2.9,yes
can you die from a redback spider bite,110,30,0.0,0.01,1,TOFU,no,2.8,yes
where do redback spiders live,90,24,0.0,0.0,1,TOFU,no,2.6,yes
are redback spiders poisonous,90,32,0.09,0.02,1,TOFU,no,2.3,yes
how dangerous are redback spiders,110,41,0.03,0.05,1,TOFU,no,2.2,no
what to do if bitten by redback,90,34,0.04,0.11,1,TOFU,no,2.1,yes
where do white tail spiders live,50,14,0.0,0.01,1,TOFU,no,2.1,yes
where do white tailed spiders live,50,14,0.0,0.33,1,TOFU,no,2.1,yes
do redback spiders kill you,70,29,0.0,0.01,1,TOFU,no,1.8,yes
how deadly are redback spiders,70,31,0.0,0.02,1,TOFU,no,1.7,yes
ant control carine,0,0,0.0,0.0,,BOFU,yes,0,no
ant control fremantle,0,0,0.0,0.0,,BOFU,yes,0,no
ant control greenwood,0,0,0.0,0.0,,BOFU,yes,0,no
ant control heathridge,0,0,0.0,0.0,,BOFU,yes,0,no
ant control joondalup,0,0,0.0,0.0,,BOFU,yes,0,no
ant control kinross,0,0,0.0,0.0,,BOFU,yes,0,no
ant control scarborough,10,0,0.0,0.0,,BOFU,yes,0,no
ant control stirling,0,0,0.0,0.0,,BOFU,yes,0,no
ant control wa,10,0,0.0,0.0,,BOFU,yes,0,no
ant control warwick,10,0,0.0,0.0,,BOFU,yes,0,no
ant control westminster,0,0,0.0,0.0,,BOFU,yes,0,no
are redbacks dangerous,50,0,0.0,0.33,,TOFU,no,0,yes
are termites dangerous,30,0,0.49,0.33,,TOFU,no,0,no
as 4349.3,30,0,0.0,0.33,,TOFU,no,0,no
bed bug treatment wa,10,0,0.0,0.0,,BOFU,yes,0,no
bee removal wa,0,0,0.0,0.0,,BOFU,yes,0,no
best termite treatment australia,20,0,2.28,0.99,,MOFU,no,0,no
cockroach control beldon,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control duncraig,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control fremantle,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control joondalup,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control marmion,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control north fremantle,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control padbury,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control scarborough,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control sorrento,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control stirling,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control trigg,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control wa,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control watermans bay,0,0,0.0,0.0,,BOFU,yes,0,no
cockroach control yanchep,0,0,0.0,0.0,,BOFU,yes,0,no
flea treatment wa,10,0,0.0,0.0,,BOFU,yes,0,no
how often should you spray for pests,0,0,0.0,0.0,,TOFU,no,0,no
millipede control near me,0,0,0.0,0.0,,MOFU,no,0,no
millipede control perth,10,0,0.0,0.71,,BOFU,yes,0,no
mosquito control near me,30,0,0.0,0.33,,MOFU,no,0,no
pest control beldon,10,0,7.45,1.0,,BOFU,yes,0,no
pest control burns beach,10,0,0.0,0.93,,BOFU,yes,0,no
pest control butler,50,0,2.48,0.99,,BOFU,yes,0,yes
