keyword,volume,keyword_difficulty,cpc_aud,competition,intent_code,funnel_stage,is_geo,priority_score,rank_target
what does a termite look like,480,17,0.28,0.02,1,TOFU,no,22.8,yes
are cockroaches clean,1000,35,0.0,0.0,1,TOFU,no,22.2,yes
what do ants eat,880,31,0.0,0.0,1,TOFU,no,21.5,yes
how to get rid of ants in kitchen,590,30,0.43,0.9,1,TOFU,no,21.1,yes
what does cockroach feces look like,720,25,0.0,0.0,1,TOFU,no,20.6,yes
how to kill ants,880,33,0.0,0.0,1,TOFU,no,20.5,yes
how many eyes does a spider have,880,33,0.0,0.0,1,TOFU,no,20.5,yes
how long do ants survive,590,19,0.0,0.0,1,TOFU,no,20.3,yes
how do i get rid of rats,480,28,0.6,1.0,1,TOFU,no,20.2,yes
how can i get rid of termites,480,33,0.8,0.77,1,TOFU,no,20.1,yes
spiders in perth wa,320,11,0.31,0.01,1,TOFU,yes,20.0,yes
how can you kill termites,210,7,0.6,0.79,1,TOFU,no,19.8,yes
what do rats eat,590,21,0.0,0.01,1,TOFU,no,19.0,yes
how to exterminate termites,390,28,0.8,0.77,1,TOFU,no,18.5,yes
does ants sleep,590,22,0.0,0.0,1,TOFU,no,18.4,yes
how do you kill termites,210,9,0.6,0.79,1,TOFU,no,17.7,yes
spiders in perth,320,14,0.31,0.01,1,TOFU,yes,17.5,yes
what do cockroaches need to survive,590,29,0.09,0.01,1,TOFU,no,16.5,yes
how long do rats live,720,34,0.0,0.0,1,TOFU,no,16.4,yes
how can i kill termites,210,11,0.6,0.79,1,TOFU,no,16.0,yes
can termites fly,390,17,0.1,0.03,1,TOFU,no,15.9,yes
signs of termites in house,320,25,0.72,0.12,1,TOFU,no,15.7,yes
what do termites look like in australia,320,19,0.41,0.03,1,TOFU,no,15.6,yes
what's more dangerous redback or black widow,390,15,0.0,0.0,1,TOFU,no,15.6,yes
how to get rid of redback spiders,110,6,1.25,0.28,1,TOFU,no,15.5,yes
what do rat droppings look like,390,16,0.0,0.0,1,TOFU,no,15.0,yes
are white tail spiders dangerous,480,23,0.02,0.01,1,TOFU,no,14.8,yes
what does termite damage look like,210,12,0.53,0.05,1,TOFU,no,14.6,yes
do termites fly,390,21,0.15,0.02,1,TOFU,no,14.5,yes
how do you get rid of termites,320,30,0.8,0.77,1,TOFU,no,14.4,yes
what does a white tail spider bite look like,320,14,0.0,0.0,1,TOFU,no,13.3,yes
what do rats need to survive,480,27,0.0,0.01,1,TOFU,no,13.0,yes
can redback spiders kill you,480,27,0.0,0.0,1,TOFU,no,13.0,yes
what does a white tail spider look like,210,17,0.59,0.01,1,TOFU,no,12.4,yes
can a redback kill you,480,30,0.0,0.0,1,TOFU,no,12.0,yes
can a white tail spider kill you,320,17,0.0,0.0,1,TOFU,no,11.9,yes
how long do redback spider bite symptoms last,260,13,0.04,0.02,1,TOFU,no,11.8,yes
can white tail spiders kill you,320,18,0.0,0.0,1,TOFU,no,11.4,yes
what is the brown redback,320,19,0.0,0.0,1,TOFU,no,11.0,yes
termite vs ant,210,17,0.37,0.03,"1,0",TOFU,no,10.7,yes
what will rats eat,480,35,0.0,0.01,1,TOFU,no,10.7,yes
what do termites look like australia,260,21,0.26,0.04,1,TOFU,no,10.6,yes
can a redback spider kill you,390,28,0.0,0.0,1,TOFU,no,10.3,yes
how long do a rat live,390,29,0.0,0.0,1,TOFU,no,10.0,yes
are rats nocturnal,260,16,0.0,0.0,1,TOFU,no,10.0,yes
how to know if you have termites,260,29,0.47,0.21,1,TOFU,no,9.8,yes
can a white-tail spider kill you,260,17,0.0,0.0,1,TOFU,no,9.6,yes
how to get rid of white tail spiders,90,6,0.68,0.5,1,TOFU,no,9.5,yes
what does termites look like,260,24,0.23,0.03,1,TOFU,no,9.4,yes
how long does a rat lives,390,32,0.0,0.0,1,TOFU,no,9.3,yes
what to feed redback,260,19,0.0,0.0,1,TOFU,no,9.0,yes
how big are termites,210,23,0.4,0.03,1,TOFU,no,8.9,yes
where can i buy redback boots,90,8,0.73,0.97,3,TOFU,no,8.6,yes
how do i know if i have termites,210,29,0.56,0.25,1,TOFU,no,8.4,yes
are white tailed spiders dangerous,210,18,0.12,0.02,1,TOFU,no,8.4,yes
what does a redback spider bite look like,210,17,0.07,0.01,1,TOFU,no,8.3,yes
how can you tell if you have termites,210,28,0.47,0.21,1,TOFU,no,8.1,yes
where to buy redback boots,110,12,0.6,1.0,3,TOFU,no,8.0,yes
how do you know if you have termites,210,29,0.47,0.21,1,TOFU,no,7.9,yes
how old do rats live,320,32,0.0,0.0,1,TOFU,no,7.6,yes
how to kill termites,260,25,0.0,0.0,1,TOFU,no,7.4,yes
how do you tell if you have termites,210,34,0.47,0.21,1,TOFU,no,7.0,yes
what does a white tailed spider look like,110,15,0.59,0.01,1,TOFU,no,7.0,yes
are redback spiders deadly,260,29,0.04,0.02,1,TOFU,no,6.9,yes
how quickly can a redback spider kill you,260,28,0.0,0.0,1,TOFU,no,6.8,yes
what does a white tailed spider bite look like,170,18,0.0,0.0,1,TOFU,no,6.1,yes
are white tailed spiders poisonous,140,17,0.14,0.01,1,TOFU,no,5.9,yes
can redbacks kill you,210,33,0.0,0.0,1,TOFU,no,4.9,yes
are white tail spiders deadly,140,25,0.14,0.01,1,TOFU,no,4.6,yes
as 3660.2,90,10,0.0,0.06,1,TOFU,no,4.5,yes
do white tail spiders travel in pairs,70,6,0.0,0.01,1,TOFU,no,4.4,yes
are white tail spiders poisonous,110,17,0.0,0.01,1,TOFU,no,4.1,yes
what happens if you get bitten by a redback spider,170,34,0.02,0.05,1,TOFU,no,3.9,yes
how to treat a white tail spider bite,90,17,0.16,0.04,1,TOFU,no,3.9,yes
are redbacks deadly,140,31,0.0,0.0,1,TOFU,no,3.4,yes
are black widows and redbacks the same,90,21,0.0,0.0,1,TOFU,no,2.9,yes
can you die from a redback spider bite,110,30,0.0,0.01,1,TOFU,no,2.8,yes
where do redback spiders live,90,24,0.0,0.0,1,TOFU,no,2.6,yes
are redback spiders poisonous,90,32,0.09,0.02,1,TOFU,no,2.3,yes
what to do if bitten by redback,90,34,0.04,0.11,1,TOFU,no,2.1,yes
where do white tail spiders live,50,14,0.0,0.01,1,TOFU,no,2.1,yes
where do white tailed spiders live,50,14,0.0,0.33,1,TOFU,no,2.1,yes
do redback spiders kill you,70,29,0.0,0.01,1,TOFU,no,1.8,yes
how deadly are redback spiders,70,31,0.0,0.02,1,TOFU,no,1.7,yes
are redbacks dangerous,50,0,0.0,0.33,,TOFU,no,0,yes
how many ants on the earth,880,0,0.0,0.33,,TOFU,no,0,yes
are redback spiders dangerous,90,0,0.0,0.02,1,TOFU,no,0,yes
what do white tail spiders look like,50,0,0.0,0.01,,TOFU,no,0,yes
